Ride_ID,Date,Time,City,Driver_ID,Ride_Type,Distance_km,Duration_min,Fare_INR,Payment_Mode,Ride_Status,Rating
O10030,03-02-2026,20:16,Mumbai,D1089,Bike,17.2,35,186.86,UPI,Completed,4.9
O10031,20-05-2026,01:53,Pune,D1006,Sedan,17.2,35,452.92,Card,Completed,4.8
O10032,23-02-2026,21:15,Delhi,D1031,Auto,23.7,60,325.17,UPI,Completed,4.9
O10033,15-02-2026,13:01,Mumbai,D1035,Auto,23.8,60,314.16,UPI,Completed,4.6
O10034,29-06-2026,03:24,Jaipur,D1029,Bike,7.8,22,96.88,Cash,Completed,4.7
O10035,18-06-2026,06:25,Pune,D1069,Auto,26.1,43,305.58,Card,Completed,4.4
O10036,08-01-2026,03:56,Hyderabad,D1041,Prime,18,41,406.68,Wallet,Completed,3.7
O10037,05-06-2026,16:07,Chennai,D1069,Sedan,6.9,9,287.61,UPI,Completed,4.9
O10038,04-04-2026,13:04,Pune,D1053,Sedan,10.4,15,358.38,Card,Completed,3.6
O10039,14-04-2026,22:18,Mumbai,D1079,Prime,13.5,32,370.41,Card,Cancelled,
O10040,14-04-2026,17:53,Jaipur,D1057,Auto,9.7,21,172,Wallet,Completed,3.6
O10041,22-06-2026,06:32,Kolkata,D1097,Prime,20.3,44,481.48,UPI,Completed,3.7
O10042,22-06-2026,09:14,Bengaluru,D1059,Prime,2.2,8,188.48,Wallet,Completed,4.5
O10043,11-06-2026,18:12,Chennai,D1099,Bike,12.9,17,159.12,Cash,Completed,4.5
O10044,19-04-2026,07:11,Kolkata,D1086,Mini,17.4,66,308.18,Card,Completed,4.6
O10045,24-04-2026,19:52,Chennai,D1032,Sedan,14.2,18,436.06,Card,Completed,3.5
O10046,14-05-2026,15:40,Bengaluru,D1070,Auto,14,53,180,Cash,Completed,3.6
O10047,05-02-2026,04:14,Chennai,D1008,Prime,21.6,16,497.84,UPI,Completed,3.9
O10048,18-04-2026,12:57,Jaipur,D1054,Sedan,12.3,8,411.99,UPI,Completed,3.8
O10049,05-05-2026,07:17,Chennai,D1060,Bike,2.3,9,75.22,UPI,Completed,4.4
O10050,09-06-2026,17:01,Chennai,D1024,Sedan,17.6,9,457.88,Cash,Completed,4.7
O10051,08-03-2026,12:20,Bengaluru,D1054,Bike,10.8,32,115.88,Card,Cancelled,
O10052,21-01-2026,15:01,Jaipur,D1032,Auto,7.9,10,153.69,UPI,Completed,4.5
O10053,06-01-2026,19:09,Bengaluru,D1099,Prime,15,15,389.48,Card,Completed,4.4
O10054,12-02-2026,19:38,Delhi,D1074,Prime,29,21,642.51,Wallet,Cancelled,
O10055,12-04-2026,22:12,Delhi,D1077,Sedan,21.2,39,531.13,Cash,Completed,4.7
O10056,25-05-2026,01:22,Chennai,D1014,Auto,3.5,13,78.89,Wallet,Completed,4.6
O10057,03-04-2026,20:57,Kolkata,D1069,Prime,13.9,54,366.72,Wallet,Completed,4.2
O10058,30-04-2026,13:52,Hyderabad,D1073,Auto,25.8,19,297.52,Wallet,Completed,4.5
O10059,28-03-2026,00:31,Pune,D1090,Prime,15.4,30,413.05,Card,Completed,4.8
O10060,23-05-2026,00:33,Bengaluru,D1083,Mini,8.4,21,175,Wallet,Completed,4.4
O10061,25-04-2026,00:05,Hyderabad,D1068,Prime,13,23,335.43,Card,Completed,3.9
O10062,19-04-2026,23:35,Pune,D1041,Auto,21.5,42,256.46,Cash,Completed,4.4
O10063,18-05-2026,22:11,Bengaluru,D1068,Prime,22.6,43,537.52,Card,Cancelled,
O10064,26-01-2026,06:18,Bengaluru,D1007,Auto,6.6,8,135.56,Card,Completed,3.1
O10065,28-06-2026,04:40,Kolkata,D1007,Mini,26.4,81,376.7,Card,Completed,3.7
O10066,03-05-2026,03:52,Delhi,D1073,Bike,15.5,44,178.06,Card,Completed,3.3
O10067,22-01-2026,07:07,Chennai,D1039,Sedan,18.5,36,524.3,Wallet,Completed,4.8
O10068,20-03-2026,18:39,Jaipur,D1085,Sedan,28.9,20,744.33,Cash,Completed,3.4
O10069,10-02-2026,07:11,Delhi,D1037,Prime,1.6,9,157.06,Card,Completed,3.1
O10070,29-06-2026,14:04,Bengaluru,D1015,Auto,24,88,301.29,UPI,Completed,3.4
O10071,15-06-2026,04:58,Hyderabad,D1037,Prime,3.5,9,198.48,Wallet,Completed,4.6
O10072,01-02-2026,14:44,Hyderabad,D1056,Bike,28.4,72,275,Card,Completed,4.2
O10073,04-06-2026,08:01,Delhi,D1098,Prime,28.9,115,660.44,Card,Completed,3
O10074,28-05-2026,01:48,Mumbai,D1082,Bike,16.3,36,204.53,Wallet,Completed,4.2
O10075,24-01-2026,15:22,Chennai,D1037,Auto,10.7,14,187.04,Wallet,Completed,4.4
O10076,21-05-2026,01:29,Delhi,D1001,Auto,8.7,11,174.91,Wallet,Completed,4
O10077,16-04-2026,01:12,Pune,D1017,Sedan,23.1,88,592.94,Card,Completed,3.5
O10078,23-04-2026,22:31,Delhi,D1002,Mini,29.2,85,446.35,Wallet,Completed,3.6
O10079,24-01-2026,07:53,Delhi,D1066,Bike,28.5,90,296.25,Card,Completed,4.4
O10080,17-04-2026,15:30,Bengaluru,D1018,Bike,17.2,32,160.94,Cash,Completed,4.5
O10081,12-03-2026,13:21,Hyderabad,D1020,Mini,9.6,17,213.82,Wallet,Completed,4.3
O10082,18-05-2026,15:22,Pune,D1090,Sedan,23.2,56,595.87,UPI,Completed,3.4
O10083,27-05-2026,12:14,Chennai,D1085,Mini,10.6,38,216.57,UPI,Completed,3.8
O10084,07-05-2026,01:08,Pune,D1002,Mini,26.4,64,363.78,UPI,Cancelled,
O10085,15-04-2026,20:09,Delhi,D1043,Bike,23.8,41,224.1,Wallet,Completed,4.3
O10086,23-03-2026,20:45,Kolkata,D1030,Sedan,2.5,8,166.43,Cash,Completed,3.6
O10087,22-04-2026,03:48,Delhi,D1038,Bike,6.2,17,122.84,Card,Completed,4.6
O10088,06-04-2026,13:09,Bengaluru,D1049,Sedan,13.2,51,419.48,UPI,Completed,3.2
O10089,08-05-2026,18:09,Bengaluru,D1037,Bike,19.7,66,185.47,UPI,Completed,4.6
O10090,19-01-2026,14:22,Hyderabad,D1062,Bike,21.2,66,238.77,Cash,Completed,3.8
O10091,02-03-2026,12:36,Pune,D1002,Sedan,9.9,26,299.54,Cash,Completed,3.8
O10092,05-06-2026,23:31,Hyderabad,D1097,Prime,18.8,53,433.73,UPI,Completed,3.5
O10093,10-06-2026,03:57,Jaipur,D1038,Auto,24,12,300.57,Card,Completed,3.2
O10094,17-04-2026,05:12,Mumbai,D1022,Sedan,26.5,54,667.16,Card,Cancelled,
O10095,04-05-2026,09:47,Pune,D1087,Mini,14.8,12,227.45,Wallet,Cancelled,
O10096,23-05-2026,11:05,Chennai,D1075,Mini,9,11,179.84,Wallet,Completed,4.3
O10097,13-06-2026,11:06,Bengaluru,D1082,Bike,2.2,10,50.56,Wallet,Completed,4.3
O10098,29-06-2026,09:41,Chennai,D1069,Mini,5.5,8,127.31,UPI,Completed,3.2
O10099,10-04-2026,14:23,Chennai,D1079,Sedan,22.7,27,615.98,Wallet,Completed,4.7
O10100,13-03-2026,01:44,Pune,D1070,Prime,14.1,23,393.68,Card,Completed,4.4
O10101,16-01-2026,12:17,Bengaluru,D1077,Mini,28.5,113,413.83,Cash,Completed,4.3
O10102,13-01-2026,10:15,Mumbai,D1043,Sedan,7.3,25,260.5,UPI,Completed,4.7
O10103,02-06-2026,00:17,Mumbai,D1002,Prime,16.9,59,396.41,Card,Completed,3.1
O10104,02-03-2026,18:20,Jaipur,D1061,Prime,9.1,12,295.72,Wallet,Completed,4.5
O10105,03-04-2026,16:37,Delhi,D1067,Bike,15.9,47,140.24,Card,Completed,4.7
O10106,28-04-2026,20:01,Jaipur,D1010,Bike,25.6,62,262.83,Cash,Completed,4.8
O10107,24-03-2026,19:09,Delhi,D1077,Prime,9.3,28,288.38,Card,Completed,3.8
O10108,27-04-2026,16:38,Chennai,D1093,Mini,24.1,22,388.9,UPI,Completed,4.5
O10109,21-04-2026,14:56,Bengaluru,D1041,Bike,11.2,37,127.51,Card,Completed,3.6
O10110,06-04-2026,04:43,Kolkata,D1017,Mini,4.1,9,95.73,Cash,Completed,4.5
O10111,31-05-2026,17:35,Pune,D1007,Mini,13.2,50,264.28,Card,Completed,4.8
O10112,03-06-2026,09:22,Delhi,D1072,Sedan,16,17,465.97,Card,Completed,3.2
O10113,30-01-2026,08:36,Bengaluru,D1085,Bike,25.6,87,257.75,Card,Completed,3.1
O10114,08-01-2026,05:17,Hyderabad,D1019,Auto,11.5,19,195.89,Cash,Completed,3.8
O10115,24-01-2026,23:33,Bengaluru,D1073,Bike,13.5,29,129.02,Cash,Completed,3.6
O10116,14-01-2026,04:10,Jaipur,D1028,Mini,9.3,29,181.28,Cash,Completed,3.8
O10117,30-03-2026,13:07,Hyderabad,D1008,Sedan,15.4,50,429.59,Cash,Completed,5
O10118,22-02-2026,09:13,Mumbai,D1049,Auto,9.7,11,117.54,UPI,Completed,3.4
O10119,09-05-2026,17:53,Pune,D1041,Mini,12.8,10,224.14,Wallet,Completed,3.2
O10120,27-05-2026,12:45,Chennai,D1059,Auto,4.8,8,135.63,Card,Completed,4.9
O10121,23-01-2026,13:54,Delhi,D1044,Prime,13.9,33,366.88,UPI,Completed,3.6
O10122,27-03-2026,05:04,Delhi,D1019,Sedan,16,57,444.46,UPI,Completed,4.6
O10123,27-01-2026,04:16,Bengaluru,D1097,Prime,18.7,17,429,Wallet,Completed,4
O10124,24-06-2026,18:41,Pune,D1076,Auto,5.8,10,110.82,Cash,Completed,4.6
O10125,01-04-2026,16:04,Hyderabad,D1012,Bike,14.4,11,151.01,Wallet,Completed,4.3
O10126,29-04-2026,18:35,Jaipur,D1020,Bike,27.4,81,274.83,Cash,Completed,4
O10127,26-04-2026,03:51,Pune,D1068,Mini,15.9,19,233.54,UPI,Completed,5
O10128,04-04-2026,11:58,Hyderabad,D1043,Bike,13.1,29,162.32,Cash,Completed,4.3
O10129,26-03-2026,03:35,Chennai,D1011,Auto,8.7,29,174.51,UPI,Completed,3.3
O10130,31-03-2026,09:41,Chennai,D1017,Prime,18.5,18,434.67,Cash,Completed,4.6
O10131,15-06-2026,21:27,Pune,D1025,Mini,11.8,19,248.18,UPI,Completed,4.5
O10132,05-02-2026,04:04,Hyderabad,D1005,Mini,16,42,290.46,Card,Cancelled,
O10133,08-06-2026,04:38,Chennai,D1093,Prime,6.1,13,240.28,UPI,Completed,3.7
O10134,24-04-2026,19:18,Kolkata,D1025,Prime,16.7,27,448.19,Card,Completed,4.8
O10135,23-06-2026,18:28,Kolkata,D1026,Auto,23.7,72,293.92,UPI,Cancelled,
O10136,06-03-2026,01:41,Kolkata,D1011,Auto,17.3,14,242.8,UPI,Completed,3.2
O10137,11-03-2026,14:57,Mumbai,D1004,Bike,4.1,11,99.97,Wallet,Cancelled,
O10138,14-01-2026,12:32,Pune,D1092,Prime,12.5,13,331.24,Card,Completed,4.9
O10139,07-02-2026,04:02,Hyderabad,D1011,Bike,21.3,25,233.52,Cash,Completed,4.2
O10140,07-03-2026,06:53,Mumbai,D1039,Sedan,28.3,85,702.94,Cash,Completed,3.6
O10141,13-01-2026,07:26,Kolkata,D1031,Mini,4.7,15,138.17,UPI,Completed,4
O10142,16-03-2026,13:00,Pune,D1009,Prime,17.8,31,446.91,Cash,Completed,4.9
O10143,10-04-2026,15:02,Chennai,D1085,Auto,8.7,8,132,Cash,Completed,3.5
O10144,29-05-2026,23:48,Pune,D1060,Prime,2.8,10,187.35,Wallet,Completed,4.6
O10145,11-06-2026,05:51,Mumbai,D1006,Mini,21.9,66,305.39,Card,Completed,4.6
O10146,21-03-2026,16:25,Kolkata,D1084,Auto,2.5,10,58.38,Card,Completed,4.6
O10147,11-03-2026,03:51,Pune,D1044,Bike,26.9,103,255.98,UPI,Cancelled,
O10148,08-05-2026,22:31,Pune,D1024,Sedan,9.1,10,332.9,Card,Completed,4.2
O10149,24-03-2026,03:05,Pune,D1094,Auto,10.2,35,133.67,Card,Completed,3.9
O10150,07-06-2026,13:17,Jaipur,D1004,Mini,20.6,59,312.63,UPI,Completed,4.4
O10151,05-06-2026,21:50,Kolkata,D1073,Mini,5.1,11,155.7,Cash,Completed,3.8
O10152,04-06-2026,04:43,Kolkata,D1084,Auto,12.1,12,181.17,Card,Completed,3.8
O10153,05-03-2026,03:01,Mumbai,D1028,Bike,16.3,43,148.64,Card,Completed,4.4
O10154,27-06-2026,15:12,Delhi,D1088,Prime,25.8,65,556.49,Card,Completed,5
O10155,20-06-2026,11:45,Delhi,D1090,Sedan,17,65,461,UPI,Completed,4.4
O10156,03-04-2026,16:14,Delhi,D1048,Prime,24.1,38,569.13,Wallet,Completed,4.1
O10157,22-05-2026,04:39,Delhi,D1010,Mini,10.3,38,200.4,UPI,Completed,4.6
O10158,23-03-2026,20:04,Kolkata,D1076,Bike,20.9,52,186.18,UPI,Completed,4.1
O10159,03-02-2026,13:32,Jaipur,D1045,Mini,16.3,27,247.13,Card,Completed,4.4
O10160,21-01-2026,08:12,Hyderabad,D1075,Prime,19.3,76,433.94,UPI,Completed,4.2
O10161,13-02-2026,21:39,Pune,D1099,Sedan,2.7,8,159.69,Card,Cancelled,
O10162,16-06-2026,06:49,Chennai,D1039,Sedan,19.7,71,556.23,Wallet,Completed,4.3
O10163,04-03-2026,21:25,Hyderabad,D1044,Bike,3.6,8,49.87,UPI,Completed,3.9
O10164,22-03-2026,22:20,Pune,D1016,Bike,5.2,13,87.65,Card,Completed,3.5
O10165,26-04-2026,07:09,Delhi,D1021,Mini,9.8,32,218.09,Card,Completed,4.9
O10166,28-05-2026,23:20,Bengaluru,D1012,Prime,15.7,40,395.28,Wallet,Completed,4
O10167,10-05-2026,14:15,Bengaluru,D1087,Sedan,11.6,11,351.69,Wallet,Completed,4.7
O10168,15-03-2026,17:00,Delhi,D1052,Bike,5.3,12,103.33,Cash,Completed,3.7
O10169,26-05-2026,17:12,Pune,D1080,Sedan,9.7,20,329.3,Cash,Completed,3.6
O10170,02-02-2026,03:25,Pune,D1065,Auto,17.4,31,246.85,Cash,Completed,4
O10171,12-01-2026,01:08,Pune,D1079,Bike,16.3,17,182.84,Card,Completed,3.7
O10172,11-02-2026,12:39,Hyderabad,D1003,Sedan,11.1,40,359.26,Card,Completed,3.6
O10173,26-03-2026,21:07,Chennai,D1100,Sedan,10.3,9,347.78,UPI,Completed,4.3
O10174,14-01-2026,18:30,Mumbai,D1090,Sedan,19.4,56,498.34,Cash,Completed,3.1
O10175,18-02-2026,00:28,Pune,D1095,Bike,5.8,14,85.13,Cash,Completed,4.8
O10176,30-06-2026,04:33,Bengaluru,D1069,Sedan,10.8,38,352.78,Card,Completed,3.3
O10177,20-05-2026,11:43,Hyderabad,D1039,Sedan,15.3,23,425.53,Card,Completed,4.9
O10178,30-06-2026,06:44,Kolkata,D1016,Auto,15.2,43,237.36,Wallet,Completed,3.5
O10179,12-04-2026,11:49,Mumbai,D1084,Auto,2.7,10,52.53,Card,Cancelled,
O10180,03-05-2026,06:12,Hyderabad,D1007,Sedan,21.3,25,533.65,UPI,Completed,3.5
O10181,13-06-2026,07:03,Delhi,D1071,Bike,10.9,38,104.24,UPI,Completed,3
O10182,15-04-2026,20:59,Kolkata,D1012,Bike,20,44,192.48,UPI,Completed,4.8
O10183,17-05-2026,23:46,Jaipur,D1064,Prime,13.4,19,386.57,UPI,Completed,4.7
O10184,16-03-2026,01:00,Hyderabad,D1070,Sedan,18.7,50,493.92,Wallet,Cancelled,
O10185,04-02-2026,16:29,Hyderabad,D1024,Prime,24.6,50,534.17,Cash,Completed,3.5
O10186,28-03-2026,09:36,Bengaluru,D1086,Prime,18.9,59,478.09,Cash,Completed,3.2
O10187,17-02-2026,04:30,Pune,D1039,Prime,1.7,9,127.09,Cash,Completed,4.9
O10188,08-03-2026,20:23,Bengaluru,D1091,Mini,20.5,67,307.48,Card,Completed,4
O10189,26-06-2026,03:40,Hyderabad,D1078,Auto,19,36,277.02,Card,Completed,3.9
O10190,17-04-2026,22:35,Kolkata,D1011,Sedan,24.4,35,641.33,Wallet,Completed,4.2
O10191,16-05-2026,22:23,Delhi,D1022,Sedan,4.7,16,257.2,Card,Completed,4.1
O10192,14-05-2026,14:07,Bengaluru,D1054,Sedan,15.4,40,439.18,Wallet,Completed,3.3
O10193,25-05-2026,01:35,Kolkata,D1010,Auto,22.1,58,258.81,Cash,Completed,3.4
O10194,19-04-2026,11:44,Delhi,D1024,Sedan,29.8,16,765.03,UPI,Completed,3.6
O10195,14-06-2026,23:41,Chennai,D1049,Auto,29.8,56,349.4,Wallet,Cancelled,
O10196,21-01-2026,21:42,Mumbai,D1001,Auto,4.9,16,96.51,Cash,Completed,5
O10197,18-03-2026,14:43,Chennai,D1093,Sedan,12.3,22,363.33,Cash,Completed,3.6
O10198,09-01-2026,21:26,Jaipur,D1007,Prime,7.4,11,254.78,UPI,Completed,4.3
O10199,12-01-2026,12:28,Bengaluru,D1030,Sedan,7.7,9,263.81,Card,Cancelled,
O10200,28-05-2026,19:49,Pune,D1036,Prime,10.1,17,330.8,Cash,Completed,3.8
O10201,23-05-2026,18:56,Mumbai,D1086,Bike,17.3,11,216.46,Wallet,Cancelled,
O10202,15-05-2026,10:44,Chennai,D1029,Bike,5.8,20,69.27,Card,Completed,3.5
O10203,06-02-2026,14:58,Jaipur,D1027,Sedan,13.3,34,405.01,Card,Completed,3.5
O10204,15-06-2026,02:59,Kolkata,D1006,Auto,4.1,11,64.61,Cash,Completed,4.2
O10205,18-02-2026,18:46,Bengaluru,D1028,Bike,7.5,18,91.22,UPI,Cancelled,
O10206,31-01-2026,23:48,Kolkata,D1037,Prime,21.3,34,491.16,Wallet,Completed,3.6
O10207,30-04-2026,17:41,Pune,D1093,Auto,9,24,171.8,Wallet,Completed,4.6
O10208,23-03-2026,06:23,Pune,D1075,Bike,2.8,9,84.29,Wallet,Completed,4.1
O10209,17-03-2026,04:12,Pune,D1033,Prime,12.3,23,336.35,Wallet,Completed,4.4
O10210,14-06-2026,23:31,Kolkata,D1070,Prime,22.4,53,495.05,Cash,Completed,4
O10211,15-05-2026,01:53,Delhi,D1020,Mini,23.3,60,329.22,Cash,Completed,3.1
O10212,25-02-2026,16:29,Pune,D1053,Mini,19.1,69,315.35,Cash,Completed,4.1
O10213,05-01-2026,16:46,Hyderabad,D1023,Sedan,29.4,10,723.16,Cash,Completed,3.9
O10214,25-01-2026,16:09,Bengaluru,D1048,Prime,19.2,40,482.67,Wallet,Completed,3.8
O10215,28-04-2026,18:15,Bengaluru,D1012,Auto,21,18,275.76,Wallet,Completed,4.5
O10216,08-04-2026,12:35,Kolkata,D1043,Mini,19.6,29,280.99,Cash,Completed,4.3
O10217,16-05-2026,01:14,Bengaluru,D1070,Sedan,15.1,10,466.69,Cash,Completed,3.6
O10218,15-02-2026,10:01,Bengaluru,D1021,Sedan,5.6,21,261.89,UPI,Completed,3.2
O10219,26-05-2026,12:43,Pune,D1096,Bike,23,25,249.33,Card,Completed,3.2
O10220,14-01-2026,03:27,Bengaluru,D1058,Mini,11.2,33,242.22,Wallet,Completed,4.3
O10221,28-02-2026,11:35,Chennai,D1032,Bike,6.8,26,110.65,Cash,Completed,4.2
O10222,22-01-2026,08:09,Chennai,D1057,Prime,22.6,48,512.05,Card,Completed,4.9
O10223,11-03-2026,03:08,Delhi,D1046,Prime,13.8,43,367.23,Cash,Completed,3.1
O10224,02-06-2026,19:50,Pune,D1032,Bike,1.9,9,52.35,UPI,Completed,4.8
O10225,25-06-2026,12:10,Mumbai,D1039,Auto,10.1,39,131.22,Wallet,Completed,3.6
O10226,20-01-2026,11:16,Bengaluru,D1051,Bike,18.4,33,189.25,Card,Completed,3
O10227,08-06-2026,12:51,Pune,D1062,Bike,11,16,119.03,Card,Completed,4.4
O10228,15-02-2026,12:20,Hyderabad,D1051,Bike,29.1,108,259.77,Card,Completed,4.6
O10229,30-01-2026,18:12,Mumbai,D1038,Sedan,2.3,10,178.31,Cash,Completed,3.9
O10230,15-04-2026,21:31,Mumbai,D1058,Auto,8.4,29,114.79,Wallet,Completed,3.8
O10231,30-05-2026,12:34,Chennai,D1011,Sedan,2.5,9,199.11,Cash,Completed,4.2
O10232,05-03-2026,21:42,Pune,D1097,Prime,19.9,13,477.63,Card,Completed,4.3
O10233,21-04-2026,03:00,Delhi,D1058,Auto,7.8,31,134.32,Card,Completed,4.2
O10234,11-04-2026,14:49,Mumbai,D1015,Auto,29.9,69,326.32,UPI,Completed,4.9
O10235,31-03-2026,09:21,Kolkata,D1041,Prime,16.4,30,408.53,Cash,Completed,4.4
O10236,18-03-2026,01:51,Delhi,D1095,Mini,25.7,90,356.06,UPI,Completed,4.9
O10237,13-05-2026,05:35,Mumbai,D1024,Auto,17.5,69,227.34,Wallet,Completed,4.3
O10238,12-04-2026,00:47,Bengaluru,D1091,Bike,18.4,57,157.51,Cash,Completed,3.6
O10239,28-05-2026,03:51,Mumbai,D1082,Auto,10.8,37,135.98,Card,Completed,4
O10240,02-06-2026,12:39,Chennai,D1091,Sedan,4.8,13,255.19,Card,Completed,4.6
O10241,07-06-2026,18:05,Mumbai,D1050,Auto,4.9,12,77.19,Wallet,Completed,3.3
O10242,02-06-2026,04:36,Chennai,D1072,Bike,6.8,25,112.94,UPI,Completed,5
O10243,06-05-2026,09:08,Mumbai,D1018,Auto,25.5,87,278.75,UPI,Completed,3
O10244,09-04-2026,17:32,Kolkata,D1073,Bike,21,61,227.71,Cash,Completed,3.3
O10245,26-02-2026,09:02,Hyderabad,D1064,Prime,16.8,18,437.05,Cash,Completed,4.5
O10246,27-05-2026,03:17,Pune,D1055,Sedan,24.9,13,651.2,Cash,Completed,3.4
O10247,17-06-2026,07:19,Jaipur,D1100,Bike,9,35,139.17,UPI,Completed,5
O10248,23-02-2026,23:37,Pune,D1008,Sedan,19.5,29,533.13,Card,Completed,4.6
O10249,17-05-2026,08:38,Mumbai,D1087,Auto,29.4,45,334.25,Cash,Completed,4.7
O10250,04-02-2026,13:58,Jaipur,D1042,Auto,26.2,24,331.1,UPI,Completed,3.3
O10251,23-06-2026,12:31,Mumbai,D1099,Sedan,19.5,61,516.26,Cash,Completed,4.6
O10252,14-04-2026,16:47,Hyderabad,D1094,Auto,14.5,39,187.91,Cash,Completed,4.5
O10253,28-04-2026,20:42,Pune,D1035,Mini,24.2,58,345.65,Card,Completed,3.4
O10254,14-03-2026,10:35,Mumbai,D1081,Sedan,25.8,51,678.59,Wallet,Completed,3.1
O10255,05-01-2026,03:59,Mumbai,D1084,Bike,14.5,35,140.16,Card,Completed,3.3
O10256,10-02-2026,08:05,Pune,D1097,Auto,3.8,10,61.63,UPI,Completed,4.5
O10257,20-04-2026,20:05,Delhi,D1002,Mini,7.6,10,140.49,Cash,Completed,4.4
O10258,28-06-2026,10:52,Delhi,D1014,Bike,21.3,69,185.36,Cash,Completed,4.5
O10259,22-03-2026,11:56,Hyderabad,D1073,Prime,12.4,16,348.11,Cash,Completed,3.1
O10260,06-06-2026,20:10,Kolkata,D1079,Auto,22.1,88,293.38,Wallet,Cancelled,
O10261,25-02-2026,02:57,Delhi,D1018,Prime,22.9,83,543.3,UPI,Completed,3.9
O10262,12-03-2026,20:05,Bengaluru,D1085,Sedan,18.6,44,526.53,Card,Completed,4.7
O10263,22-02-2026,16:38,Bengaluru,D1050,Bike,9.9,11,144.07,Cash,Completed,3.5
O10264,03-03-2026,15:40,Delhi,D1017,Sedan,26.8,9,705.08,Wallet,Cancelled,
O10265,26-05-2026,13:23,Mumbai,D1028,Bike,28.7,106,244.71,Cash,Completed,3
O10266,16-01-2026,12:32,Hyderabad,D1079,Sedan,23.4,62,617.13,UPI,Completed,4.1
O10267,13-03-2026,02:19,Delhi,D1084,Sedan,27.7,27,691.55,Cash,Completed,4.3
O10268,21-03-2026,22:27,Bengaluru,D1086,Mini,8.5,21,150.12,UPI,Completed,3.1
O10269,31-01-2026,00:45,Mumbai,D1022,Mini,6.2,19,151.01,Card,Completed,4.4
O10270,02-02-2026,23:49,Hyderabad,D1034,Mini,23.5,11,345.45,Cash,Completed,4
O10271,08-05-2026,14:32,Pune,D1074,Mini,15.7,44,240.08,Cash,Completed,4.5
O10272,28-02-2026,23:32,Jaipur,D1020,Mini,26,9,369.12,UPI,Completed,3.8
O10273,10-01-2026,17:51,Chennai,D1074,Prime,10.7,34,336.71,Card,Completed,4.7
O10274,31-01-2026,16:43,Jaipur,D1009,Prime,7.9,24,290.9,Wallet,Cancelled,
O10275,14-03-2026,09:20,Delhi,D1080,Sedan,14.5,31,404.05,UPI,Completed,3.6
